,id,label,kfold
0,12628,7,0
1,37730,3,0
2,39991,8,0
3,8525,9,0
4,8279,3,0
5,51012,9,0
6,14871,7,0
7,15127,7,0
8,9366,5,0
9,33322,4,0
10,53390,2,0
11,21819,5,0
12,5026,6,0
13,23428,8,0
14,45297,1,0
15,26354,7,0
16,30195,4,0
17,47038,8,0
18,20731,0,0
19,34047,7,0
20,26064,9,0
21,42469,3,0
22,29746,1,0
23,14522,7,0
24,31572,6,0
25,54949,5,0
26,19368,3,0
27,3803,3,0
28,53325,3,0
29,14300,6,0
30,51301,0,0
31,9008,8,0
32,47521,4,0
33,25224,9,0
34,48921,5,0
35,37978,1,0
36,44171,8,0
37,26303,7,0
38,19458,8,0
39,5369,8,0
40,50291,0,0
41,25951,8,0
42,54908,2,0
43,56362,0,0
44,32218,8,0
45,2885,5,0
46,36559,5,0
47,8966,2,0
48,46574,2,0
49,10530,0,0
50,44628,1,0
51,273,5,0
52,19269,9,0
53,36911,3,0
54,10121,0,0
55,13290,6,0
56,57606,2,0
57,47189,2,0
58,29209,6,0
59,42187,4,0
60,25386,0,0
61,17005,1,0
62,10981,8,0
63,47313,4,0
64,27070,0,0
65,6685,2,0
66,54960,4,0
67,58125,7,0
68,40700,7,0
69,13902,4,0
70,31539,4,0
71,49716,0,0
72,49519,1,0
73,51923,4,0
74,3502,8,0
75,39336,6,0
76,2218,0,0
77,18505,0,0
78,10689,0,0
79,21377,9,0
80,1866,6,0
81,20192,3,0
82,28870,6,0
83,52203,9,0
84,3867,9,0
85,3222,4,0
86,21785,8,0
87,20984,6,0
88,48539,6,0
89,40694,1,0
90,8440,9,0
91,9951,5,0
92,1334,2,0
93,32572,6,0
94,28344,3,0
95,46503,4,0
96,34482,9,0
97,36271,1,0
98,36874,0,0
99,11512,4,0
100,23847,2,0
101,9937,8,0
102,52122,5,0
103,9189,4,0
104,55990,4,0
105,11744,4,0
106,34545,4,0
107,13152,8,0
108,13059,2,0
109,49858,4,0
110,52310,5,0
111,8914,4,0
112,42178,3,0
113,9199,1,0
114,37940,3,0
115,54184,5,0
116,48596,4,0
117,58585,2,0
118,8063,1,0
119,21052,1,0
120,30487,2,0
121,7528,2,0
122,9935,8,0
123,31354,2,0
124,48001,7,0
125,49675,0,0
126,49979,4,0
127,34356,0,0
128,38895,6,0
129,46280,3,0
130,9073,5,0
131,24961,2,0
132,476,2,0
133,16358,5,0
134,24839,1,0
135,24915,1,0
136,15359,4,0
137,16242,5,0
138,33821,2,0
139,31935,2,0
140,48297,9,0
141,25311,3,0
142,4402,6,0
143,52611,2,0
144,27692,9,0
145,36474,9,0
146,33603,5,0
147,24219,3,0
148,41145,4,0
149,31168,8,0
150,31382,7,0
151,57527,3,0
152,48272,9,0
153,23534,7,0
154,45163,9,0
155,5874,9,0
156,30088,0,0
157,59052,1,0
158,17179,8,0
159,45513,0,0
160,39996,5,0
161,8478,6,0
162,36198,0,0
163,50196,2,0
164,52352,8,0
165,52625,0,0
166,37788,6,0
167,212,7,0
168,4248,1,0
169,26773,8,0
170,47225,3,0
171,38606,8,0
172,47023,2,0
173,50318,9,0
174,7984,4,0
175,16164,5,0
176,15325,0,0
177,53791,1,0
178,59920,2,0
179,21634,1,0
180,5748,3,0
181,40744,1,0
182,2095,7,0
183,51747,8,0
184,38858,8,0
185,30281,1,0
186,9134,8,0
187,6994,8,0
188,43502,9,0
189,9998,9,0
190,22494,8,0
191,50702,8,0
192,26457,0,0
193,56099,1,0
194,21543,5,0
195,1422,7,0
196,11024,4,0
197,16732,3,0
198,12678,7,0
199,26242,4,0
200,32673,4,0
201,29542,4,0
202,54773,1,0
203,49177,9,0
204,28872,2,0
205,39283,2,0
206,23532,1,0
207,4614,5,0
208,3131,0,0
209,11988,4,0
210,52076,6,0
211,32090,5,0
212,27585,1,0
